userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,button,side,status
Andi,Reflective,Intro,Tabletop,8.746197,-1.227133,0.6017302,-0.7010374,-1.224597,0.6175077,-0.9971755,0,0,0,350.9922,249.9547,4.81756,-9.008,-110.045,4.818,344.5067,240.3013,29.08328,-15.493,-119.699,29.083,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,8.877192,-1.227372,0.6017709,-0.7012239,-1.224735,0.6172073,-0.9979305,0,0,0,350.9895,249.9367,4.835912,-9.011001,-110.063,4.836,344.5005,240.2991,29.10054,-15.5,-119.701,29.101,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,9.008992,-1.227101,0.6019002,-0.7014149,-1.224389,0.6171893,-0.998245,0,0,0,350.9848,249.9415,4.828225,-9.015,-110.059,4.828,344.4937,240.2991,29.10172,-15.506,-119.701,29.102,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,9.154382,-1.227117,0.6019206,-0.7010065,-1.224661,0.6170138,-0.9986053,0,0,0,350.981,249.9211,4.826713,-9.019,-110.079,4.827,344.5024,240.2981,29.10168,-15.498,-119.702,29.102,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,9.280706,-1.226992,0.6018834,-0.7008022,-1.224711,0.6168449,-0.998256,0,0,0,350.9792,249.9476,4.822624,-9.021001,-110.052,4.823,344.5066,240.308,29.08973,-15.493,-119.692,29.09,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,9.416054,-1.226897,0.6018722,-0.7009413,-1.224981,0.6169388,-0.9990866,0,0,0,350.9931,249.9349,4.831434,-9.007,-110.065,4.831,344.5133,240.3086,29.09083,-15.487,-119.691,29.091,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,9.559482,-1.22733,0.6019193,-0.7011093,-1.224918,0.6170766,-0.9986584,0,0,0,350.9779,249.9425,4.831597,-9.022,-110.057,4.832,344.4957,240.3006,29.09534,-15.504,-119.699,29.095,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,9.696869,-1.227114,0.6018488,-0.7006754,-1.224547,0.6171229,-0.9979184,0,0,0,350.9834,249.9427,4.825367,-9.017,-110.057,4.825,344.4854,240.2996,29.09476,-15.515,-119.7,29.095,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,9.836246,-1.226909,0.6017207,-0.7008708,-1.224369,0.6171484,-0.9976852,0,0,0,350.9751,249.9429,4.841297,-9.025001,-110.057,4.841,344.4858,240.2998,29.0959,-15.514,-119.7,29.096,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,9.978262,-1.227016,0.6017855,-0.701288,-1.224575,0.6174335,-0.9979465,0,0,0,350.9999,249.9443,4.836861,-9,-110.056,4.837,344.4913,240.3006,29.10319,-15.509,-119.699,29.103,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,10.1159,-1.227113,0.6018623,-0.7008446,-1.224557,0.617232,-0.9976723,0,0,0,350.9934,249.9316,4.840456,-9.007,-110.068,4.84,344.4955,240.3057,29.09421,-15.505,-119.694,29.094,0,0,0,0,0,0,1,988.6462,,,
Andi,Reflective,Intro,Tabletop,10.25309,-1.227216,0.6018667,-0.7013199,-1.22436,0.6174673,-0.9973588,0,0,0,350.9839,249.9393,4.846928,-9.016001,-110.061,4.847,344.485,240.3008,29.0932,-15.515,-119.699,29.093,0,0,0,0,0,0,1,988.6462,,,
