userName,ExperimentState,ReflectionPhasePart,condition,elapsedTime,distanceTraveled,headsetPosX,headsetPosY,headsetPosZ,ControllerLeftPosX,ControllerLeftPosY,ControllerLeftPosZ,ControllerRightPosX,ControllerRightPosY,ControllerRightPosZ,headsetRotEulerX,headsetRotEulerY,headsetRotEulerZ,headsetRotInspectorX,headsetRotInspectorY,headsetRotInspectorZ,controllerLeftRotEulerX,controllerLeftRotEulerY,controllerLeftRotEulerZ,controllerLeftRotInspectorX,controllerLeftRotInspectorY,controllerLefttRotInspectorZ,controllerRightRotEulerX,controllerRightRotEulerY,controllerRightRotEulerZ,controllerRightRotInspectorX,controllerRightRotInspectorY,controllerRighttRotInspectorZ,rawSliderValue,convertedSliderValue,isKidneyVisible,ToggleHead,ToggleRight,ToggleLeft,ToggleTissue,TaskVisible1,TaskVisible2,TaskVisible3,TaskVisible4,TaskVisible5,TaskVisible6,TaskVisible7,TaskVisible8,TaskVisible9,TaskVisible10,TaskVisible11,TaskVisible12,TaskVisible13,TaskVisible14,
Andi,Reflective,Intro,Standup,5.750766,5.236252,-1.040962,1.679066,0.06680778,-0.8720186,1.592807,0.3873057,-0.7191723,1.070671,0.1229569,1.300949,42.14849,357.5808,1.301,42.149,-2.419,302.6152,36.50376,7.049176,-57.385,36.504,7.049,10.74392,53.82514,336.0223,10.744,53.825,-23.978,0.9991845,708.3677,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,5.89571,5.238785,-1.039914,1.679247,0.06773921,-0.8694605,1.592877,0.3875446,-0.7157856,1.071323,0.1205306,1.370408,42.21074,357.8127,1.37,42.211,-2.187,302.7261,36.93243,6.8584,-57.274,36.932,6.858,10.60923,54.44727,336.2654,10.609,54.447,-23.735,0.9987202,708.144,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,6.032449,5.242302,-1.043113,1.679158,0.06911971,-0.8714669,1.593416,0.3879359,-0.71577,1.070445,0.1204834,1.229736,41.65714,358.3337,1.23,41.657,-1.666,302.4282,36.84244,6.58868,-57.572,36.842,6.589,10.65921,54.62516,336.1916,10.659,54.625,-23.808,0.9983484,707.965,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,6.178897,5.247714,-1.048283,1.67905,0.07047378,-0.8752562,1.59444,0.3869779,-0.7184246,1.070676,0.122488,1.123519,41.26525,358.4222,1.124,41.265,-1.578,301.8909,37.72796,5.783229,-58.109,37.728,5.783,10.5098,54.52899,336.3373,10.51,54.529,-23.663,0.9979821,707.7886,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,6.315467,5.252966,-1.053376,1.679394,0.07152341,-0.8802795,1.595073,0.3880347,-0.7221782,1.071494,0.1250328,0.9961419,41.42163,358.5634,0.9960001,41.422,-1.437,301.8233,37.57953,6.185849,-58.177,37.58,6.186,10.44885,54.33466,336.3193,10.449,54.335,-23.681,0.9976155,707.6119,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,6.449103,5.258334,-1.058511,1.679407,0.07294108,-0.884752,1.594851,0.3904077,-0.7261398,1.071178,0.1255502,0.8887162,41.3687,358.9359,0.8890001,41.369,-1.064,301.9661,37.30848,6.578911,-58.034,37.308,6.579,10.6476,54.18558,336.5842,10.648,54.186,-23.416,0.997246,707.434,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,6.574935,5.262731,-1.062352,1.679274,0.07489723,-0.8888153,1.593821,0.3921652,-0.7289202,1.071295,0.1256551,0.9388565,41.31912,359.0272,0.9390001,41.319,-0.973,302.1349,36.91806,7.014815,-57.865,36.918,7.015,10.7345,54.30754,336.6198,10.735,54.308,-23.38,0.9968736,707.2546,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,6.706103,5.267394,-1.066563,1.679262,0.07671501,-0.8911434,1.592435,0.3939594,-0.7331344,1.071046,0.1251944,1.028461,41.29432,359.3249,1.028,41.294,-0.675,302.5396,37.06823,7.041118,-57.46,37.068,7.041,10.86795,54.21527,336.6908,10.868,54.215,-23.309,0.9965,707.0746,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,6.830648,5.270812,-1.069348,1.678415,0.07835846,-0.8928452,1.59075,0.3945202,-0.7348817,1.070436,0.1225097,1.230821,41.47533,359.5162,1.231,41.475,-0.484,302.7689,37.04552,7.312078,-57.231,37.046,7.312,11.03183,54.58455,336.7575,11.032,54.585,-23.243,0.9961265,706.8947,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Andi,Reflective,Intro,Standup,6.960589,5.273394,-1.071296,1.67799,0.07990158,-0.8937854,1.588784,0.3951185,-0.736708,1.069771,0.1200674,1.52482,41.67987,359.6456,1.525,41.68,-0.354,303.0608,37.10812,7.796163,-56.939,37.108,7.796,11.23472,55.00017,336.96,11.235,55,-23.04,0.9957532,706.715,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
